English (en),Finnish (fi),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
adjunct,lisä,1,0,0,0,0,0,0,0,0,0
adjust,säätää,0,0,0,0,0,0,0,0,0,0
adjustment,säätö,0,0,0,0,0,0,0,0,0,0
adjuvant,adjuvanttia,0,0,0,0,0,0,0,0,0,0
administer,hallita,0,0,0,0,0,0,0,0,0,0
administration,antaminen,0,0,0,0,0,0,0,0,0,0
administrative,hallinnollinen,0,0,0,0,0,0,0,0,0,1
admirable,ihailtava,1,0,0,0,0,0,1,0,0,1
admiral,amiraali,1,0,0,0,0,0,0,0,0,1
admiralty,amiraalinvirka,0,0,0,0,0,0,0,0,0,0
admiration,ihailu,1,0,0,0,0,0,1,0,0,1
admire,ihailla,1,0,0,0,0,0,0,0,0,1
admirer,ihailija,1,0,0,0,0,0,0,0,0,0
admissibility,hyväksyttävyyden,0,0,0,0,0,0,0,0,0,0
admissible,hyväksyttävä,1,0,0,0,0,0,0,0,0,1
admission,pääsy,0,0,0,0,0,0,0,0,0,0
admit,myöntää,0,0,0,0,0,0,0,0,0,0
admittance,pääsy,0,0,0,0,0,0,0,0,0,0
admitted,hyväksytty,0,0,0,0,0,0,0,0,0,0
admitting,myöntää,0,0,0,0,0,0,0,0,0,0
admixture,sekoitus,0,0,0,0,0,0,0,0,0,0
admonition,kehotus,0,1,0,0,0,1,0,0,0,0
ado,melu,0,0,0,0,0,0,0,0,0,0
adobe,adobe,0,0,0,0,0,0,0,0,0,0
adolescence,nuoruus,0,0,0,0,0,0,0,0,0,0
adolescent,nuori,0,0,0,0,0,0,0,0,0,0
adopt,hyväksyä,0,0,0,0,0,0,0,0,0,0
adoption,hyväksyminen,0,0,0,0,0,0,0,0,0,0
adorable,ihana,1,0,0,0,0,0,1,0,0,0
adoration,palvonta,1,0,0,0,0,0,1,0,0,1
adore,jumaloida,1,0,0,1,0,0,1,0,0,1
adorn,kaunistaa,0,0,0,0,0,0,0,0,0,0
adornment,koriste,0,0,0,0,0,0,0,0,0,0
adrift,tuuliajolla,0,1,0,1,0,1,0,1,0,0
adult,aikuinen,0,0,0,0,0,0,0,0,0,0
adulterated,väärennetyllä,0,1,0,0,0,0,0,0,0,0
adultery,aviorikos,0,1,0,0,1,0,0,1,0,0
advance,edetä,1,0,0,1,0,1,1,0,1,0
advanced,pitkälle kehittynyt,1,0,0,0,0,0,0,0,0,0
advancement,edistäminen,1,0,0,0,0,0,0,0,0,0
advancing,etenee,0,0,0,0,0,0,0,0,0,0
advantage,etu,1,0,0,0,0,0,0,0,0,0
advantageous,edullinen,1,0,0,0,0,0,0,0,0,0
advent,tulo,1,0,0,1,0,0,1,0,0,1
adventure,seikkailu,1,0,0,1,0,0,0,0,0,0
adventurer,seikkailija,0,0,0,0,0,0,0,0,0,0
adventurous,seikkailunhaluinen,1,0,0,0,0,0,0,0,0,0
adversary,vastustaja,0,1,1,0,0,0,0,0,0,0
adverse,haitallinen,0,1,1,0,1,1,0,1,0,0
adversity,vastoinkäyminen,0,1,1,0,0,1,0,1,0,0
advertise,mainostaa,0,0,0,0,0,0,0,0,0,0
advertisement,mainos,0,0,0,0,0,0,0,0,0,0
advice,neuvot,0,0,0,0,0,0,0,0,0,1
advisable,suositeltava,1,0,0,0,0,0,0,0,0,1
advise,neuvoa,1,0,0,0,0,0,0,0,0,1
advised,neuvoi,0,0,0,0,0,0,0,0,0,1
advisement,harkittaviksi,0,0,0,0,0,0,0,0,0,0
adviser,neuvonantaja,1,0,0,0,0,0,0,0,0,1
advocacy,asianajo,1,0,1,1,0,0,1,0,0,1
advocate,puolestapuhuja,0,0,0,0,0,0,0,0,0,1
aegis,suojeluksessa,0,0,0,0,0,0,0,0,0,0
aeration,ilmastus,0,0,0,0,0,0,0,0,0,0
aerial,antenni,0,0,0,0,0,0,0,0,0,0
aerodrome,lentoasema,0,0,0,0,0,0,0,0,0,0
aerodynamics,aerodynamiikka,0,0,0,0,0,0,0,0,0,0
aeronautics,ilmailu,0,0,0,0,0,0,0,0,0,0
aeroplane,lentokone,0,0,0,0,0,0,0,0,0,0
aesthetic,esteettinen,1,0,0,0,0,0,0,0,0,0
aesthetics,estetiikka,1,0,0,0,0,0,1,0,0,0
aetiology,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
afar,kauas,0,0,0,0,0,0,0,0,0,0
affable,ystävällinen,1,0,0,0,0,0,0,0,0,0
affair,asia,0,0,0,0,0,0,0,0,0,0
affecting,vaikuttavia,0,0,0,0,0,0,0,0,0,0
affection,tunteet,1,0,0,0,0,0,1,0,0,1
affections,affections,0,0,0,0,0,0,0,0,0,0
affiche,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
affidavit,valaehtoinen todistus,0,0,0,0,0,0,0,0,0,0
affiliated,sidoksissa,1,0,0,0,0,0,0,0,0,0
affiliation,kuuluminen,0,0,0,0,0,0,0,0,0,0
affinity,affiniteetti,0,0,0,0,0,0,0,0,0,0
affirm,vakuuttaa,1,0,0,0,0,0,0,0,0,1
affirmation,vakuutus,1,0,0,0,0,0,0,0,0,0
affirmative,myöntävä,1,0,0,0,0,0,0,0,0,0
affirmatively,myöntävästi,1,0,0,0,0,0,0,0,0,1
affix,kiinnittää,0,0,0,0,0,0,0,0,0,0
afflict,vaivata,0,1,0,0,0,1,0,1,0,0
afflicted,ahdistettu,0,1,0,0,0,0,0,0,0,0
affliction,koettelemus,0,1,0,0,1,1,0,1,0,0
affluence,yltäkylläisyys,1,0,0,0,0,0,1,0,0,0
affluent,hyvinvoiva,1,0,0,0,0,0,0,0,0,0
afford,olla varaa,1,0,0,0,0,0,0,0,0,0
affront,loukkaus,0,1,1,0,1,1,0,1,1,0
afield,afield,0,0,0,0,0,0,0,0,0,0
afore,edellä,0,0,0,0,0,0,0,0,0,0
aforementioned,yllä mainitut,0,0,0,0,0,0,0,0,0,0
aforesaid,edellä mainittu,0,0,0,0,0,0,0,0,0,0
afraid,peloissaan,0,1,0,0,0,1,0,0,0,0
afresh,uudelleen,0,0,0,0,0,0,0,0,0,0
aft,perä-,0,0,0,0,0,0,0,0,0,0
aftermath,jälkiseuraukset,0,1,1,0,1,1,0,1,0,0
afternoon,iltapäivällä,0,0,0,0,0,0,0,0,0,0
aftertaste,jälkimaku,0,1,0,0,0,0,0,0,0,0
afterthought,jälkiviisaus,0,0,0,0,0,0,0,0,0,0
aga,NO TRANSLATION,1,0,0,0,0,1,0,0,0,1
agate,akaatti,0,0,0,0,0,0,0,0,0,0
age,ikä,0,0,0,0,0,0,0,0,0,0
aged,ikäinen,0,0,0,0,0,0,0,0,0,0
agency,toimisto,0,0,0,0,0,0,0,0,0,0
agent,agentti,0,0,0,0,0,0,0,0,0,0
agglomeration,kasauma,0,0,0,0,0,0,0,0,0,0
aggravated,paheneminen,0,1,1,0,0,0,0,0,0,0
aggravating,raskauttava,0,1,1,0,0,0,0,1,0,0
aggravation,paheneminen,0,1,1,0,1,0,0,0,0,0
aggregate,aggregaatti,0,0,0,0,0,0,0,0,0,0
aggregation,aggregaatti,0,0,0,0,0,0,0,0,0,0
aggression,aggressio,0,1,1,0,0,1,0,0,0,0
aggressive,aggressiivinen,0,1,1,0,0,1,0,0,0,0
aggressor,hyökkäävä puoli,0,1,1,0,0,1,0,0,0,0
aghast,tyrmistynyt jstk,0,1,0,0,1,1,0,0,1,0
agile,ketterä,1,0,0,0,0,0,0,0,0,0
agility,ketteryys,1,0,0,0,0,0,0,0,0,0
agitated,kiihtynyt,0,1,1,0,0,0,0,0,0,0
agitation,levottomuus,0,1,1,0,0,0,0,0,0,0
agnostic,agnostikko,0,0,0,0,0,0,0,0,0,0
ago,sitten,0,0,0,0,0,0,0,0,0,0
agonizing,tuskallinen,0,1,0,0,0,1,0,0,0,0
agony,tuska,0,1,1,0,0,1,0,1,0,0
agree,olla samaa mieltä,1,0,0,0,0,0,0,0,0,0
agreeable,miellyttävä,1,0,0,0,0,0,0,0,0,1
agreed,sovittu,1,0,0,0,0,0,0,0,0,1
agreeing,sopimalla,1,0,0,0,0,0,0,0,0,1
agreement,sopimus,1,0,0,0,0,0,0,0,0,1
agricultural,maatalous,0,0,0,0,0,0,0,0,0,0
agriculture,maatalous,1,0,0,0,0,0,0,0,0,0
aground,karille,0,1,0,0,0,0,0,0,0,0
agua,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
ahead,eteenpäin,1,0,0,0,0,0,0,0,0,0
aid,apu,1,0,0,0,0,0,0,0,0,0
aiding,auttamista,1,0,0,0,0,0,0,0,0,0
ail,vaivata,0,1,0,0,0,0,0,1,0,0
ailing,sairaalloinen,0,1,0,0,0,1,0,1,0,0
ailment,sairaus,0,0,0,0,0,0,0,0,0,0
aim,tavoite,0,0,0,0,0,0,0,0,0,0
aimless,päämäärätön,0,1,0,0,0,0,0,0,0,0
air,ilma,0,0,0,0,0,0,0,0,0,0
airbag,turvatyyny,0,0,0,0,0,0,0,0,0,0
airlift,ilmasilta,0,0,0,0,0,0,0,0,0,0
airline,lentoyhtiö,0,0,0,0,0,0,0,0,0,0
airman,lentäjä,0,0,0,0,0,0,0,0,0,0
airplane,lentokone,0,0,0,0,0,0,0,0,0,0
airport,lentokenttä,0,0,0,1,0,0,0,0,0,0
airs,tärkeily,0,1,0,0,1,0,0,0,0,0
airship,ilmalaiva,0,0,0,0,0,0,0,0,0,0
aisle,käytävä,0,0,0,0,0,0,0,0,0,0
ait,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
ajar,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
akin,kaltainen,0,0,0,0,0,0,0,0,0,1
alabaster,alabasteri,1,0,0,0,0,0,0,0,0,0
alarm,hälytys,0,1,0,0,0,1,0,0,1,0
alarming,hälyttävä,0,1,0,0,0,1,0,0,1,0
alb,NO TRANSLATION,0,0,0,0,0,0,0,0,0,1
album,albumi,0,0,0,0,0,0,0,0,0,0
alchemy,alkemia,0,0,0,0,0,0,0,0,0,0
alcohol,alkoholi,0,0,0,0,0,0,0,0,0,0
alcoholism,alkoholismi,0,1,1,0,1,1,0,1,0,0
alcove,alkovi,0,0,0,0,0,0,0,0,0,0
alert,hälytys,0,0,0,0,0,0,0,0,0,0
alertness,valppaus,1,0,0,1,0,1,0,0,1,0
alerts,hälytykset,0,0,0,1,0,1,0,0,1,0
alfalfa,sinimailanen,0,0,0,0,0,0,0,0,0,0
algebra,algebra,0,0,0,0,0,0,0,0,0,0
algebraic,algebran,0,0,0,0,0,0,0,0,0,0
algorithm,algoritmi,0,0,0,0,0,0,0,0,0,0
alibi,alibi,0,0,0,0,0,0,0,0,0,0
alien,ulkomaalainen,0,1,0,0,1,1,0,0,0,0
alienate,luovuttaa,0,1,1,0,1,0,0,0,0,0
alienated,vieraantuneita,0,1,0,0,0,0,0,1,0,0
alienation,vieraantuminen,0,1,1,0,1,1,0,1,0,0
alight,laskeutua,0,0,0,0,0,0,0,0,0,0
aligned,Tasaus,0,0,0,0,0,0,0,0,0,0
alignment,suuntaus,0,0,0,0,0,0,0,0,0,0
alike,samoin,0,0,0,0,0,0,0,0,0,0
alimentation,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
alimony,elatusapu,0,1,0,0,0,0,0,0,0,0
aliquot,alikvootti,0,0,0,0,0,0,0,0,0,0
alive,elossa,1,0,0,1,0,0,1,0,0,1
alkali,alkali,0,0,0,0,0,0,0,0,0,0
alkaloids,alkaloideja,0,0,0,0,0,0,0,0,0,0
allay,lievittää,1,0,0,0,0,0,0,0,0,0
allegation,väite,0,1,1,0,0,0,0,0,0,0
allege,väittää,0,1,0,0,0,0,0,0,0,0
alleged,väitetty,0,0,0,0,0,0,0,0,0,0
allegiance,alamaisuus,1,0,0,0,0,0,0,0,0,1
allegorical,allegorinen,0,0,0,0,0,0,0,0,0,0
allegory,allegoria,0,0,0,0,0,0,0,0,0,0
allegro,allegro,1,0,0,0,0,0,0,0,0,0
alleviate,lievittää,1,0,0,0,0,0,0,0,0,0
alleviation,lievitys,1,0,0,0,0,0,0,0,0,0
alley,kuja,0,0,0,0,0,0,0,0,0,0
alliance,liitto,0,0,0,0,0,0,0,0,0,1
allied,liittoutunut,1,0,0,0,0,0,0,0,0,1
alligator,alligaattori,0,0,0,0,0,0,0,0,0,0
allocate,jakaa,0,0,0,0,0,0,0,0,0,0
allocation,jako,0,0,0,0,0,0,0,0,0,0
allot,jakaa,0,0,0,0,0,0,0,0,0,0
allotment,siirtolapuutarha,0,0,0,0,0,0,0,0,0,0
allowable,sallittu,1,0,0,0,0,0,0,0,0,0
allowance,avustus,0,0,0,0,0,0,0,0,0,0
allowed,sallittu,0,0,0,0,0,0,0,0,0,0
alloy,metalliseos,0,0,0,0,0,0,0,0,0,0
allure,viehättää,1,0,0,1,0,0,1,0,1,0
alluring,viettelevä,1,0,0,0,0,0,0,0,0,0
allusion,viittaus,0,0,0,0,0,0,0,0,0,0
alluvial,tulva-,0,0,0,0,0,0,0,0,0,0
ally,liittolainen,1,0,0,0,0,0,0,0,0,1
almanac,kalenteri,0,0,0,0,0,0,0,0,0,0
almighty,kaikkivaltias,1,0,0,0,0,0,0,0,0,0
aloft,korkealla,0,0,0,0,0,0,0,0,0,0
aloha,näkemiin,1,0,0,1,0,0,1,0,0,0
alongside,rinnalla,0,0,0,0,0,0,0,0,0,0
aloof,syrjässä,0,1,0,0,0,0,0,0,0,0
aloud,ääneen,0,0,0,0,0,0,0,0,0,0
alphabet,aakkoset,0,0,0,0,0,0,0,0,0,0
alphabetical,aakkosellinen,0,0,0,0,0,0,0,0,0,0
altar,alttari,0,0,0,0,0,0,0,0,0,0
alter,muuttaa,0,0,0,0,0,0,0,0,0,0
alteration,muutos,0,0,0,0,0,0,0,0,0,0
altercation,kiista,0,1,1,0,0,0,0,0,0,0
altered,muuttunut,0,0,0,0,0,0,0,0,0,0
alternate,vaihtoehtoinen,0,0,0,0,0,0,0,0,0,0
alternative,vaihtoehto,0,0,0,0,0,0,0,0,0,0
altitude,korkeus,0,0,0,0,0,0,0,0,0,0
alto,altto,0,0,0,0,0,0,0,0,0,0
altogether,yhteensä,0,0,0,0,0,0,0,0,0,0
alumnus,entinen oppilas,0,0,0,0,0,0,0,0,0,0
alveolar,alveolaarinen,0,0,0,0,0,0,0,0,0,0
amalgam,amalgaami,0,0,0,0,0,0,0,0,0,0
amalgamation,yhdistäminen,0,0,0,0,0,0,0,0,0,0
amass,kasata,0,0,0,0,0,0,0,0,0,0
amateur,amatööri,0,0,0,0,0,0,0,0,0,0
amaze,hämmästyttää,0,0,0,0,0,0,0,0,1,0
amazement,hämmästys,0,0,0,0,0,0,0,0,0,0
amazingly,mahtavasti,1,0,0,0,0,0,1,0,1,0
ambassador,suurlähettiläs,1,0,0,0,0,0,0,0,0,1
amber,keltainen,0,0,0,0,0,0,0,0,0,0
ambient,ympäröivä,0,0,0,0,0,0,0,0,0,0
ambiguity,epäselvyys,0,0,0,0,0,0,0,0,0,0
ambiguous,epäselvä,0,1,0,0,0,0,0,0,0,0
ambit,rajat,0,0,0,0,0,0,0,0,0,0
ambition,kunnianhimo,1,0,0,1,0,0,1,0,0,1
ambitious,kunnianhimoinen,0,0,0,0,0,0,0,0,0,0
ambulance,ambulanssi,0,0,0,0,0,1,0,0,0,1
ambush,väijytys,0,1,1,0,0,1,0,0,1,0
ameliorate,parantaa,1,0,0,0,0,0,0,0,0,0
amen,aamen,1,0,0,0,0,0,1,0,0,1
amenable,myöntyväinen,1,0,0,0,0,0,0,0,0,0
amend,muuttaa,1,0,0,0,0,0,0,0,0,0
amendment,muutos,0,0,0,0,0,0,0,0,0,0
amends,muutetaan,1,0,0,0,0,0,0,0,0,0
amenity,mukavuudet,1,0,0,0,0,0,0,0,0,0
amethyst,ametisti,0,0,0,0,0,0,0,0,0,0
amiable,rakastettava,1,0,0,0,0,0,0,0,0,0
amicable,sovinnollinen,1,0,0,0,0,0,1,0,0,0
amid,keskellä,0,0,0,0,0,0,0,0,0,0
amidst,keskellä,0,0,0,0,0,0,0,0,0,0
